Restaurant,Country,Menu Item,URL,Calories,Total Fat (g),Total Carbs (g),Protein (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Dietary Fiber (g),Sugars (g),Vitamin A (μg),Vitamin C (μg),Calcium (mg),Iron (mg),Added Sugars (g),Vitamin D (μg),Potassium (mg),Polyunsaturated Fat (g),Monounsaturated Fat (g)
Burger King,UK,The Wagyu,https://www.burgerking.co.uk/menu/picker-86e0f4ef-122e-4c31-95d5-c3a646701341,766,,,,,,,,,,,,,,,,,,,
Burger King,South Africa,Medium Fries,https://www.burgerking.co.za/menu/picker-c73855ca-24f7-4cb2-bc7d-0e0685aa5aa0,167,7.1,23.3,1.7,3.3,,,,200,,0.6,,,,,,,,
Burger King,USA,Medium French Fries,https://www.bk.com/nutrition-explorer,370,16,54,5,2,0,0,270,4,1,,,,,,,,,
Burger King,India,Medium Fries,https://d1rgpf387mknul.cloudfront.net/1676898421pdfnutritionallergenspdf,333,14.1,60.5,5.9,6.8,0,0,569,0.1,0.1,,,,,,,,,
Burger King,Mexico,Medium fries,https://www.burgerking.com.mx/en/menu/picker-49e0beb0-5b35-423e-bec9-cd34b9df17fc,284,,,,,,,,,,,,,,,,,,,
Burger King,UK,Regular Fries,https://www.burgerking.co.uk/menu/picker-daddf80d-608a-446b-bd8e-03cf391de010,269.1,11.4,36,3.1,3.3,,,,500,,0.4,,,,,,,,
Burger King,South Africa,Crispy Chicken,https://www.burgerking.co.za/menu/picker-fca97e16-8773-4cb2-bc7d-0e0685aa5aa0,559,27,60,19.5,3.4,,,,3000,,7.5,,,,,,,,
Burger King,USA,Royal Crispy Chicken,https://www.bk.com/nutrition-explorer,600,31,54,31,5,0,80,1330,4,9,,,,,,,,,
Burger King,India,Crispy Veg,https://d1rgpf387mknul.cloudfront.net/1676898421pdfnutritionallergenspdf,362,12.8,53.4,8.4,4.9,0,,798,,6.5,,,,,,,,,
Burger King,Mexico,Whopper Vegan,https://www.burgerking.com.mx/en/menu/picker-e7b9fb0e-2967-4458-aea4-60ceee453f49,700,,,,,,,,,,,,,,,,,,,
Burger King,UK,Plant Based Whopper,https://www.burgerking.co.uk/menu/picker-fe6d92f7-5bd2-455b-8bef-ff6939aabba5,542.3,24.2,50.2,26.8,4.4,,,,2700,,11.3,,,,,,,,
